Année,Trimestre,Mois,Nombre d'offres diffusées,,
2015,T1,1,350700,,
2015,T1,2,368200,,
2015,T1,3,435700,,
2015,T2,4,404500,,
2015,T2,5,363400,,
2015,T2,6,432100,,
2015,T3,7,631700,,
2015,T3,8,527600,,
2015,T3,9,572900,,
2015,T4,10,525200,,
2015,T4,11,544000,,
2015,T4,12,544300,,
2016,T1,1,612900,,
2016,T1,2,529900,,
2016,T1,3,618600,,
2016,T2,4,586000,,
2016,T2,5,616000,,
2016,T2,6,744700,,
2016,T3,7,743400,,
2016,T3,8,516000,,
2016,T3,9,748900,,
2016,T4,10,702600,,
2016,T4,11,577200,,
2016,T4,12,545600,,
2017,T1,1,606800,,
2017,T1,2,600200,,
2017,T1,3,851200,,
2017,T2,4,679500,,
2017,T2,5,660800,,
2017,T2,6,633500,,
2017,T3,7,519200,,
2017,T3,8,446100,,
2017,T3,9,543400,,
2017,T4,10,535800,,
2017,T4,11,590900,,
2017,T4,12,472800,,
2018,T1,1,535800,,
2018,T1,2,568000,,
2018,T1,3,772500,,
2018,T2,4,604800,,
2018,T2,5,602700,,
2018,T2,6,490400,,
2018,T3,7,793300,,
2018,T3,8,602100,,
2018,T3,9,660100,,
2018,T4,10,659900,,
2018,T4,11,587300,,
2018,T4,12,524600,,
2019,T1,1,564200,,
2019,T1,2,514900,,
2019,T1,3,554600,,
2019,T2,4,622600,,
2019,T2,5,598000,,
2019,T2,6,722000,,
2019,T3,7,791500,,
2019,T3,8,612000,,
2019,T3,9,777100,,
2019,T4,10,778500,,
2019,T4,11,720200,,
2019,T4,12,641600,,
2020,T1,1,788200,,
2020,T1,2,758900,,
2020,T1,3,529600,,
2020,T2,4,328300,,
2020,T2,5,468100,,
2020,T2,6,648800,,
2020,T3,7,689100,,
2020,T3,8,560800,,
2020,T3,9,720800,,
2020,T4,10,695100,,
2020,T4,11,544800,,
2020,T4,12,616900,,
2021,T1,1,676200,,
2021,T1,2,672300,,
2021,T1,3,793100,,
2021,T2,4,792500,,
2021,T2,5,809400,,
2021,T2,6,990300,,
2021,T3,7,976100,,
2021,T3,8,493200,,
2021,T3,9,1133600,,
2021,T4,10,1108500,,
2021,T4,11,971400,,
2021,T4,12,907500,,
2022,T1,1,976400,,
2022,T1,2,963400,,
2022,T1,3,1181600,,
2022,T2,4,969600,,
2022,T2,5,1039900,,
2022,T2,6,1009700,,
2022,T3,7,904700,,
2022,T3,8,780000,,
2022,T3,9,1003500,,
2022,T4,10,1053400,,
2022,T4,11,945300,,
2022,T4,12,1126800,,
2023,T1,1,1057400,,
2023,T1,2,1052000,,
2023,T1,3,1167000,,
2023,T2,4,967000,,
2023,T2,5,1030800,,
2023,T2,6,1047400,,
2023,T3,7,957200,,
2023,T3,8,801600,,
2023,T3,9,1009000,,